user_sequence,challenge
4827_13,CI26956
4832_11,CI23975
4832_12,CI24530
4832_13,CI23663
4840_11,CI26952
4840_12,CI26958
4840_13,CI26955
4841_11,CI24866
4841_12,CI24527
4841_13,CI24530
4846_11,CI26210
4846_12,CI26211
4846_13,CI26173
4852_11,CI26171
4852_12,CI26210
4852_13,CI26211
4857_11,CI23648
4857_12,CI24187
4857_13,CI24867
4860_11,CI26960
4860_12,CI26950
4860_13,CI26959
4862_11,CI26957
4862_12,CI26956
4862_13,CI26958
4866_11,CI26210
4866_12,CI26173
4866_13,CI26221
4870_11,CI28580
4870_12,CI28584
4870_13,CI28585
4872_11,CI23856
4872_12,CI24530
4872_13,CI24532
4873_11,CI26960
4873_12,CI26959
4873_13,CI26961
4874_11,CI26213
4874_12,CI26211
4874_13,CI26209
4875_11,CI23648
4875_12,CI24876
4875_13,CI24532
4876_11,CI24871
4876_12,CI23975
4876_13,CI25126
4877_11,CI26171
4877_12,CI26173
4877_13,CI26211
4881_11,CI23880
4881_12,CI24138
4881_13,CI25126
4883_11,CI23648
4883_12,CI23848
4883_13,CI24527
4885_11,CI26209
4885_12,CI26211
4885_13,CI26210
4886_11,CI28579
4886_12,CI28574
4886_13,CI28580
4887_11,CI25135
4887_12,CI24953
4887_13,CI23975
4891_11,CI24876
4891_12,CI24530
4891_13,CI24532
4893_11,CI26958
4893_12,CI26955
4893_13,CI26956
4895_11,CI25126
4895_12,CI24228
4895_13,CI24187
4901_11,CI26210
4901_12,CI26173
4901_13,CI26211
4902_11,CI26956
4902_12,CI26957
4902_13,CI26955
4906_11,CI23648
4906_12,CI23663
4906_13,CI24958
4912_11,CI26954
4912_12,CI26949
4912_13,CI26939
4913_11,CI23688
4913_12,CI24531
4913_13,CI24030
4915_11,CI28584
4915_12,CI28574
4915_13,CI28571
4920_11,CI26211
4920_12,CI26209
4920_13,CI26173
4926_11,CI26961
4926_12,CI26959
4926_13,CI26960
4928_11,CI24871
4928_12,CI23856
4928_13,CI24953
4929_11,CI26959
4929_12,CI26960
4929_13,CI26961
4933_11,CI23648
4933_12,CI24867
4933_13,CI23663
4935_11,CI24187
4935_12,CI24953
4935_13,CI25126
4938_11,CI26952
4938_12,CI26955
4938_13,CI26958
4941_11,CI26210
4941_12,CI26173
4941_13,CI26171
4944_11,CI25126
4944_12,CI24958
4944_13,CI23663
4945_11,CI24876
4945_12,CI24953
4945_13,CI23663
4952_11,CI24527
4952_12,CI25135
4952_13,CI23691
4954_11,CI23856
4954_12,CI24953
4954_13,CI24187
4955_11,CI26917
4955_12,CI26915
4955_13,CI26918
4957_11,CI26171
4957_12,CI26210
4957_13,CI26211
4961_11,CI26210
4961_12,CI26171
4961_13,CI26170
4962_11,CI26958
4962_12,CI26957
4962_13,CI26956
4966_11,CI26211
4966_12,CI26209
4966_13,CI26213
4968_11,CI23663
4968_12,CI24953
4968_13,CI23856
4969_11,CI26051
4969_12,CI24992
4969_13,CI25125
4970_11,CI25125
4970_12,CI23612
4970_13,CI23691
4971_11,CI23663
4971_12,CI24187
4971_13,CI25141
4973_11,CI26051
4973_12,CI23836
4973_13,CI25125
4975_11,CI26210
4975_12,CI26173
4975_13,CI26213
4987_11,CI26210
4987_12,CI26209
4987_13,CI26211
4989_11,CI24228
4989_12,CI24876
4989_13,CI24139
4993_11,CI23691
4993_12,CI25141
4993_13,CI23880
4997_11,CI24228
4997_12,CI23648
4997_13,CI25125
4998_11,CI23880
4998_12,CI24187
4998_13,CI23663
4999_11,CI26961
4999_12,CI26960
4999_13,CI26952
5001_11,CI26941
5001_12,CI26944
5001_13,CI26939
5003_11,CI28574
5003_12,CI28582
5003_13,CI28577
5006_11,CI26955
5006_12,CI26952
5006_13,CI26958
5008_11,CI26213
5008_12,CI26211
5008_13,CI26208
5015_11,CI24527
5015_12,CI24530
5015_13,CI24866
5017_11,CI26211
5017_12,CI26210
5017_13,CI26209
5020_11,CI26210
5020_12,CI26209
5020_13,CI26211
5021_11,CI26168
5021_12,CI26166
5021_13,CI26213
5023_11,CI23880
5023_12,CI25075
5023_13,CI24532
5025_11,CI26960
5025_12,CI26961
5025_13,CI26959
5027_11,CI23648
5027_12,CI24867
5027_13,CI25126
5028_11,CI26961
5028_12,CI26944
5028_13,CI26960
5033_11,CI23663
5033_12,CI23848
5033_13,CI24867
5035_11,CI28579
5035_12,CI28574
5035_13,CI28582
5037_11,CI26958
5037_12,CI26955
5037_13,CI26952
5042_11,CI26210
5042_12,CI26211
5042_13,CI26209
5044_11,CI23663
5044_12,CI24530
5044_13,CI23769
5045_11,CI23663
5045_12,CI24953
5045_13,CI24530
5047_11,CI26955
5047_12,CI26952
5047_13,CI26956
5050_11,CI26171
5050_12,CI26210
5050_13,CI26208
5051_11,CI24534
5051_12,CI25075
5051_13,CI25074
5054_11,CI26959
5054_12,CI26945
5054_13,CI26960
5055_11,CI26958
5055_12,CI26956
5055_13,CI26957
5056_11,CI24958
5056_12,CI26050
5056_13,CI23667
5057_11,CI27792
5057_12,CI27790
5057_13,CI27791
5058_11,CI24532
5058_12,CI23691
5058_13,CI23856
5060_11,CI23648
5060_12,CI24867
5060_13,CI24527
5062_11,CI24958
5062_12,CI25733
5062_13,CI26050
5063_11,CI26209
5063_12,CI26211
5063_13,CI26213
5068_11,CI24532
5068_12,CI23691
5068_13,CI23714
5074_11,CI24871
5074_12,CI23836
5074_13,CI24530
5075_11,CI26212
5075_12,CI26216
5075_13,CI26221
5077_11,CI27660
5077_12,CI27661
5077_13,CI27665
5082_11,CI28579
5082_12,CI28580
5082_13,CI28574
5084_11,CI26211
5084_12,CI26213
5084_13,CI26209
5085_11,CI24532
5085_12,CI25107
5085_13,CI24876
5087_11,CI24917
5087_12,CI24532
5087_13,CI23714
5088_11,CI26956
5088_12,CI26957
5088_13,CI26958
5090_11,CI26051
5090_12,CI24871
5090_13,CI25126
5091_11,CI26217
5091_12,CI26218
5091_13,CI26221
5096_11,CI26213
5096_12,CI26216
5096_13,CI26208
5097_11,CI23648
5097_12,CI24867
5097_13,CI25125
5101_11,CI26955
5101_12,CI26958
5101_13,CI26957
5110_11,CI26174
5110_12,CI26209
5110_13,CI26170
5112_11,CI24187
5112_12,CI23839
5112_13,CI23975
5114_11,CI26209
5114_12,CI26211
5114_13,CI26210
5121_11,CI26210
5121_12,CI26209
5121_13,CI26211
5123_11,CI24532
5123_12,CI23691
5123_13,CI24187
5124_11,CI26210
5124_12,CI26211
5124_13,CI26209
5125_11,CI26213
5125_12,CI26211
5125_13,CI26208
5127_11,CI26213
5127_12,CI26216
5127_13,CI26212
5132_11,CI26175
5132_12,CI26213
5132_13,CI26209
5138_11,CI23836
5138_12,CI23714
5138_13,CI26052
5139_11,CI28580
5139_12,CI28585
5139_13,CI28578
5140_11,CI26915
5140_12,CI26916
5140_13,CI26914
5144_11,CI23691
5144_12,CI23648
5144_13,CI24228
5146_11,CI27031
5146_12,CI27038
5146_13,CI27032
5147_11,CI23648
5147_12,CI24530
5147_13,CI24525
5151_11,CI28580
5151_12,CI28578
5151_13,CI23933
5152_11,CI24003
5152_12,CI23922
5152_13,CI23880
5157_11,CI24944
5157_12,CI25125
5157_13,CI25140
5158_11,CI24530
5158_12,CI24532
5158_13,CI23769
5159_11,CI26961
5159_12,CI26960
5159_13,CI26943
5161_11,CI27031
5161_12,CI27030
5161_13,CI27033
5163_11,CI23702
5163_12,CI24029
5163_13,CI24139
5166_11,CI23648
5166_12,CI24876
5166_13,CI23839
5167_11,CI24530
5167_12,CI23975
5167_13,CI24871
5169_11,CI26210
5169_12,CI26209
5169_13,CI26211
5172_11,CI23856
5172_12,CI23782
5172_13,CI25126
5175_11,CI24917
5175_12,CI23769
5175_13,CI24532
5180_11,CI24876
5180_12,CI23648
5180_13,CI24527
5182_11,CI24871
5182_12,CI26051
5182_13,CI23714
5184_11,CI26211
5184_12,CI26209
5184_13,CI26210
5187_11,CI25141
5187_12,CI23663
5187_13,CI23836
5188_11,CI23648
5188_12,CI24953
5188_13,CI23663
5190_11,CI23648
5190_12,CI24968
5190_13,CI24029
5192_11,CI26209
5192_12,CI26175
5192_13,CI26213
5195_11,CI23648
5195_12,CI25126
5195_13,CI23922
5197_11,CI26212
5197_12,CI26216
5197_13,CI26217
5199_11,CI24953
5199_12,CI24867
5199_13,CI26056
5202_11,CI24935
5202_12,CI24942
5202_13,CI24937
5209_11,CI24530
5209_12,CI23975
5209_13,CI24522
5212_11,CI26216
5212_12,CI26212
5212_13,CI26214
5213_11,CI26209
5213_12,CI26211
5213_13,CI26213
5214_11,CI23648
5214_12,CI24187
5214_13,CI24532
5216_11,CI27661
5216_12,CI27662
5216_13,CI27678
5218_11,CI26961
5218_12,CI26960
5218_13,CI26953
5219_11,CI26210
5219_12,CI26209
5219_13,CI26211
5220_11,CI26915
5220_12,CI26916
5220_13,CI26917
5222_11,CI23546
5222_12,CI24455
5222_13,CI24701
5225_11,CI24871
5225_12,CI23975
5225_13,CI23663
5228_11,CI23691
5228_12,CI25727
5228_13,CI24954
5229_11,CI24968
5229_12,CI23663
5229_13,CI24962
5230_11,CI28117
5230_12,CI28119
5230_13,CI28124
5234_11,CI26954
5234_12,CI26941
5234_13,CI26944
5235_11,CI24953
5235_12,CI23975
5235_13,CI23663
5236_11,CI23975
5236_12,CI23612
5236_13,CI24187
5239_11,CI26961
5239_12,CI26960
5239_13,CI26959
5240_11,CI26213
5240_12,CI26208
5240_13,CI26211
5244_11,CI24530
5244_12,CI23648
5244_13,CI24029
5246_11,CI25125
5246_12,CI24228
5246_13,CI25124
5247_11,CI26939
5247_12,CI26941
5247_13,CI26949
5249_11,CI23648
5249_12,CI24527
5249_13,CI24187
5250_11,CI23648
5250_12,CI24532
5250_13,CI25075
5252_11,CI24206
5252_12,CI24532
5252_13,CI24523
5254_11,CI25733
5254_12,CI26051
5254_13,CI23714
5258_11,CI26214
5258_12,CI26208
5258_13,CI26209
5260_11,CI28569
5260_12,CI28580
5260_13,CI28574
5262_11,CI26953
5262_12,CI26949
5262_13,CI26952
5264_11,CI26208
5264_12,CI26210
5264_13,CI26211
5265_11,CI26959
5265_12,CI26961
5265_13,CI26960
5266_11,CI26916
5266_12,CI26915
5266_13,CI26917
5268_11,CI26958
5268_12,CI26960
5268_13,CI26959
5271_11,CI26209
5271_12,CI26211
5271_13,CI26210
5283_11,CI28580
5283_12,CI28578
5283_13,CI28576
5284_11,CI28582
5284_12,CI28574
5284_13,CI28571
5286_11,CI27662
5286_12,CI27669
5286_13,CI27661
5289_11,CI24932
5289_12,CI24939
5289_13,CI24926
5297_11,CI26210
5297_12,CI26175
5297_13,CI26209
5301_11,CI26051
5301_12,CI24527
5301_13,CI23667
5303_11,CI23648
5303_12,CI24532
5303_13,CI25126
5305_11,CI26210
5305_12,CI26209
5305_13,CI26211
5309_11,CI24871
5309_12,CI25056
5309_13,CI23691
5315_11,CI26211
5315_12,CI26209
5315_13,CI26213
5319_11,CI23975
5319_12,CI23663
5319_13,CI23856
5320_11,CI23839
5320_12,CI23691
5320_13,CI24871
5326_11,CI26210
5326_12,CI26208
5326_13,CI26209
5327_11,CI26956
5327_12,CI26957
5327_13,CI26959
5328_11,CI23691
5328_12,CI25056
5328_13,CI25126
5329_11,CI26054
5329_12,CI25124
5329_13,CI26051
5331_11,CI26211
5331_12,CI26209
5331_13,CI26175
5333_11,CI26209
5333_12,CI26211
5333_13,CI26210
5338_11,CI24866
5338_12,CI23769
5338_13,CI26051
5340_11,CI26214
5340_12,CI26216
5340_13,CI26221
5346_11,CI23856
5346_12,CI23663
5346_13,CI23691
5349_11,CI23714
5349_12,CI24187
5349_13,CI25123
5351_11,CI25126
5351_12,CI23691
5351_13,CI25733
5352_11,CI28579
5352_12,CI28580
5352_13,CI28570
5358_11,CI23975
5358_12,CI24958
5358_13,CI25126
5360_11,CI25075
5360_12,CI24187
5360_13,CI23856
5365_11,CI24187
5365_12,CI23612
5365_13,CI25126
5366_11,CI27669
5366_12,CI27665
5366_13,CI27664
5368_11,CI23648
5368_12,CI23856
5368_13,CI23691
5378_11,CI26220
5378_12,CI26221
5378_13,CI26219
5381_11,CI25126
5381_12,CI24867
5381_13,CI25125
5382_11,CI27038
5382_12,CI27031
5382_13,CI27032
5384_11,CI26213
5384_12,CI26209
5384_13,CI26210
5386_11,CI23648
5386_12,CI24527
5386_13,CI24187
5387_11,CI24532
5387_12,CI23691
5387_13,CI23663
5396_11,CI26210
5396_12,CI26209
5396_13,CI26175
5398_11,CI28580
5398_12,CI28578
5398_13,CI28569
5399_11,CI26961
5399_12,CI26939
5399_13,CI26949
5401_11,CI24031
5401_12,CI23648
5401_13,CI23546
5404_11,CI26915
5404_12,CI26917
5404_13,CI26918
5406_11,CI24871
5406_12,CI24876
5406_13,CI24530
5409_11,CI26217
5409_12,CI26218
5409_13,CI26221
5417_11,CI24527
5417_12,CI25126
5417_13,CI24522
5423_11,CI26049
5423_12,CI25125
5423_13,CI25055
5424_11,CI23769
5424_12,CI24206
5424_13,CI23691
5425_11,CI26208
5425_12,CI26214
5425_13,CI26210
5428_11,CI23856
5428_12,CI25735
5428_13,CI23922
5435_11,CI26212
5435_12,CI26221
5435_13,CI26218
5436_11,CI26209
5436_12,CI26210
5436_13,CI26175
5438_11,CI23648
5438_12,CI24534
5438_13,CI23770
5440_11,CI23848
5440_12,CI23648
5440_13,CI25634
5442_11,CI26213
5442_12,CI26209
5442_13,CI26210
5443_11,CI26210
5443_12,CI26211
5443_13,CI26208
5444_11,CI26961
5444_12,CI26949
5444_13,CI26939
5446_11,CI26943
5446_12,CI26944
5446_13,CI26959
5450_11,CI24109
5450_12,CI23714
5450_13,CI23836
5451_11,CI23663
5451_12,CI23769
5451_13,CI24187
5453_11,CI26211
5453_12,CI26208
5453_13,CI26213
5454_11,CI28568
5454_12,CI28578
5454_13,CI23714
5456_11,CI24954
5456_12,CI24969
5456_13,CI24956
5460_11,CI26949
5460_12,CI26945
5460_13,CI26944
5461_11,CI23648
5461_12,CI24530
5461_13,CI23769
5462_11,CI23648
5462_12,CI23691
5462_13,CI24031
5470_11,CI27669
5470_12,CI27665
5470_13,CI27664
5471_11,CI26211
5471_12,CI26213
5471_13,CI26209
5473_11,CI26961
5473_12,CI26949
5473_13,CI26952
5477_11,CI27038
5477_12,CI27031
5477_13,CI27034
5480_11,CI25125
5480_12,CI26051
5480_13,CI24917
5481_11,CI26208
5481_12,CI26214
5481_13,CI26209
5483_11,CI26961
5483_12,CI26952
5483_13,CI26951
5485_11,CI27038
5485_12,CI27031
5485_13,CI27034
5486_11,CI24871
5486_12,CI24187
5486_13,CI23663
5487_11,CI26208
5487_12,CI26212
5487_13,CI26214
5490_11,CI26959
5490_12,CI26960
5490_13,CI26961
5495_11,CI26921
5495_12,CI26918
5495_13,CI26922
5496_11,CI26961
5496_12,CI26960
5496_13,CI26939
5504_11,CI26210
5504_12,CI26213
5504_13,CI26208
5507_11,CI28578
5507_12,CI28585
5507_13,CI28580
5510_11,CI26959
5510_12,CI26960
5510_13,CI26957
5512_11,CI26956
5512_12,CI26957
5512_13,CI26959
5516_11,CI24932
5516_12,CI24930
5516_13,CI24935
5523_11,CI26961
5523_12,CI26952
5523_13,CI26951
5526_11,CI26212
5526_12,CI26216
5526_13,CI26221
5527_11,CI23648
5527_12,CI23702
5527_13,CI24968
5528_11,CI26939
5528_12,CI26941
5528_13,CI26950
5529_11,CI24187
5529_12,CI23546
5529_13,CI23648
5531_11,CI26214
5531_12,CI26209
5531_13,CI26212
5532_11,CI26920
5532_12,CI26158
5532_13,CI26167
5533_11,CI26916
5533_12,CI26915
5533_13,CI26917
5539_11,CI24532
5539_12,CI24530
5539_13,CI23856
5543_11,CI26163
5543_12,CI26164
5543_13,CI26162
5547_11,CI23975
5547_12,CI24187
5547_13,CI24953
5555_11,CI26211
5555_12,CI26173
5555_13,CI26171
5556_11,CI26175
5556_12,CI26209
5556_13,CI26210
5561_11,CI26212
5561_12,CI26214
5561_13,CI26216
5563_11,CI28580
5563_12,CI28579
5563_13,CI28578
5565_11,CI28578
5565_12,CI28580
5565_13,CI28574
5568_11,CI24944
5568_12,CI24793
5568_13,CI24675
5573_11,CI25124
5573_12,CI26051
5573_13,CI26054
5574_11,CI27031
5574_12,CI27038
5574_13,CI27034
5577_11,CI26209
5577_12,CI26175
5577_13,CI26210
5579_11,CI26209
5579_12,CI26213
5579_13,CI26208
5582_11,CI26958
5582_12,CI26956
5582_13,CI26960
5584_11,CI26209
5584_12,CI26175
5584_13,CI26212
5599_11,CI23648
5599_12,CI23702
5599_13,CI23546
5604_11,CI26209
5604_12,CI26210
5604_13,CI26211
5607_11,CI24951
5607_12,CI24954
5607_13,CI24955
5608_11,CI26212
5608_12,CI26214
5608_13,CI26218
5612_11,CI24530
5612_12,CI23648
5612_13,CI23662
5616_11,CI24968
5616_12,CI24962
5616_13,CI24950
5620_11,CI23702
5620_12,CI24530
5620_13,CI23714
5622_11,CI23648
5622_12,CI23836
5622_13,CI24953
5623_11,CI26164
5623_12,CI26163
5623_13,CI26168
5628_11,CI26209
5628_12,CI26175
5628_13,CI26210
5629_11,CI28582
5629_12,CI28580
5629_13,CI28574
5632_11,CI23648
5632_12,CI24532
5632_13,CI25075
5642_11,CI26961
5642_12,CI26960
5642_13,CI26959
5644_11,CI26919
5644_12,CI26923
5644_13,CI26922
5645_11,CI26961
5645_12,CI26960
5645_13,CI26939
5647_11,CI24109
5647_12,CI23663
5647_13,CI23702
5648_11,CI26960
5648_12,CI26959
5648_13,CI26943
5652_11,CI24530
5652_12,CI24871
5652_13,CI25135
5655_11,CI26221
5655_12,CI26216
5655_13,CI26218
5660_11,CI25099
5660_12,CI25098
5660_13,CI25127
5663_11,CI26959
5663_12,CI26961
5663_13,CI26949
5664_11,CI26961
5664_12,CI26949
5664_13,CI26952
5665_11,CI26915
5665_12,CI26916
5665_13,CI26917
5667_11,CI24968
5667_12,CI23648
5667_13,CI24530
5668_11,CI27717
5668_12,CI27744
5668_13,CI27740
5669_11,CI24187
5669_12,CI23691
5669_13,CI24522
5676_11,CI26960
5676_12,CI26952
5676_13,CI26950
5677_11,CI25127
5677_12,CI24690
5677_13,CI25058
5684_11,CI23856
5684_12,CI24958
5684_13,CI25140
5685_11,CI23648
5685_12,CI23662
5685_13,CI24954
5686_11,CI26052
5686_12,CI25126
5686_13,CI25733
5690_11,CI26960
5690_12,CI26961
5690_13,CI26939
5691_11,CI23836
5691_12,CI24958
5691_13,CI23663
5692_11,CI26209
5692_12,CI26211
5692_13,CI26208
5693_11,CI23648
5693_12,CI24532
5693_13,CI24525
5695_11,CI26220
5695_12,CI26221
5695_13,CI26219
5698_11,CI26210
5698_12,CI26209
5698_13,CI26213
5708_11,CI24187
5708_12,CI23975
5708_13,CI25126
5709_11,CI25735
5709_12,CI26051
5709_13,CI25124
5712_11,CI24953
5712_12,CI24867
5712_13,CI23769
5714_11,CI26210
5714_12,CI26209
5714_13,CI26175
5720_11,CI23975
5720_12,CI25732
5720_13,CI23848
5721_11,CI23663
5721_12,CI23856
5721_13,CI24421
5723_11,CI24935
5723_12,CI24930
5723_13,CI24926
5726_11,CI24935
5726_12,CI24926
5726_13,CI25180
5733_11,CI23691
5733_12,CI23648
5733_13,CI24527
5735_11,CI27038
5735_12,CI27031
5735_13,CI27034
5739_11,CI24527
5739_12,CI23667
5739_13,CI24532
5741_11,CI26961
5741_12,CI26952
5741_13,CI26950
5743_11,CI23714
5743_12,CI24527
5743_13,CI24532
5745_11,CI26051
5745_12,CI23714
5745_13,CI24187
5746_11,CI24876
5746_12,CI24527
5746_13,CI24958
5747_11,CI26051
5747_12,CI24867
5747_13,CI25054
5748_11,CI26220
5748_12,CI26215
5748_13,CI26219
5750_11,CI26214
5750_12,CI26216
5750_13,CI26221
5755_11,CI25075
5755_12,CI24187
5755_13,CI24527
5756_11,CI26051
5756_12,CI23714
5756_13,CI24187
5766_11,CI26218
5766_12,CI26221
5766_13,CI26217
5768_11,CI23663
5768_12,CI24867
5768_13,CI23975
5771_11,CI26208
5771_12,CI26210
5771_13,CI26214
5772_11,CI23663
5772_12,CI25180
5772_13,CI23662
5774_11,CI28582
5774_12,CI28574
5774_13,CI28580
5778_11,CI25180
5778_12,CI25123
5778_13,CI23648
5780_11,CI24935
5780_12,CI24930
5780_13,CI24941
5782_11,CI28578
5782_12,CI28574
5782_13,CI25126
5785_11,CI25052
5785_12,CI24935
5785_13,CI24932
5787_11,CI26939
5787_12,CI26941
5787_13,CI26953
5791_11,CI23922
5791_12,CI24228
5791_13,CI25180
5795_11,CI25735
5795_12,CI24871
5795_13,CI24953
5796_11,CI26918
5796_12,CI26921
5796_13,CI26922
5798_11,CI26958
5798_12,CI26955
5798_13,CI26952
5801_11,CI24876
5801_12,CI24534
5801_13,CI24527
5803_11,CI26915
5803_12,CI26917
5803_13,CI26918
5804_11,CI26902
5804_12,CI26221
5804_13,CI26909
5805_11,CI23836
5805_12,CI23714
5805_13,CI24931
5808_11,CI26961
5808_12,CI26952
5808_13,CI26939
5809_11,CI23848
5809_12,CI24184
5809_13,CI24532
5810_11,CI26209
5810_12,CI26208
5810_13,CI26213
5820_11,CI26211
5820_12,CI26168
5820_13,CI26912
5822_11,CI23648
5822_12,CI23848
5822_13,CI24532
5823_11,CI24228
5823_12,CI23648
5823_13,CI24532
5825_11,CI26960
5825_12,CI26961
5825_13,CI26939
5827_11,CI24958
5827_12,CI23648
5827_13,CI23975
5828_11,CI24525
5828_12,CI24261
5828_13,CI23913
5829_11,CI25126
5829_12,CI28573
5829_13,CI28581
